"dates","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"2010-12-31",5.314,5.45,5.3,5.326,7089500,5.326
"2011-01-03",5.368,5.4,5.18,5.324,6415000,5.324
"2011-01-04",5.332,5.39,5.204,5.334,5937000,5.334
"2011-01-05",5.296,5.38,5.238,5.366,7233500,5.366
"2011-01-06",5.366,5.6,5.362,5.576,10306000,5.576
"2011-01-07",5.6,5.716,5.58,5.648,11239500,5.648
"2011-01-10",5.634,5.736,5.61,5.69,6713500,5.69
"2011-01-11",5.718,5.742,5.384,5.392,8551000,5.392
"2011-01-12",5.402,5.48,5.304,5.392,4822000,5.392
"2011-01-13",5.392,5.394,5.232,5.244,3618000,5.244
"2011-01-14",5.23,5.316,5.122,5.15,5960000,5.15
"2011-01-18",5.096,5.128,4.95,5.128,8108500,5.128
"2011-01-19",5.054,5.094,4.75,4.806,11857500,4.806
"2011-01-20",4.806,4.89,4.474,4.524,11399500,4.524
"2011-01-21",4.624,4.718,4.542,4.608,6085000,4.608
"2011-01-24",4.706,4.962,4.646,4.898,8225500,4.898
"2011-01-25",4.93,4.978,4.804,4.936,6357500,4.936
"2011-01-26",4.942,4.976,4.82,4.95,5399500,4.95
"2011-01-27",4.948,5.016,4.906,4.984,4478500,4.984
"2011-01-28",4.976,4.976,4.75,4.802,5242000,4.802
"2011-01-31",4.81,4.824,4.7,4.82,4151500,4.82
"2011-02-01",4.862,4.946,4.708,4.782,3539000,4.782
"2011-02-02",4.832,4.836,4.734,4.788,2847500,4.788
"2011-02-03",4.764,4.78,4.63,4.726,2560000,4.726
"2011-02-04",4.688,4.734,4.644,4.692,2720000,4.692
"2011-02-07",4.652,4.652,4.576,4.614,4475500,4.614
"2011-02-08",4.756,5.05,4.6,4.898,17524500,4.898
"2011-02-09",4.826,4.836,4.558,4.642,13178000,4.642
"2011-02-10",4.652,4.728,4.562,4.644,4180500,4.644
"2011-02-11",4.65,4.75,4.588,4.65,3172500,4.65
"2011-02-14",4.728,4.828,4.61,4.616,6415500,4.616
"2011-02-15",4.602,4.634,4.512,4.568,4768500,4.568
"2011-02-16",4.62,4.994,4.614,4.946,20575500,4.946
"2011-02-17",4.926,5.098,4.71,4.72,13092000,4.72
"2011-02-18",4.666,4.698,4.592,4.636,11853500,4.636
"2011-02-22",4.576,4.6,4.356,4.374,10323000,4.374
"2011-02-23",4.436,4.5,4.222,4.366,8028000,4.366
"2011-02-24",4.356,4.516,4.3,4.506,5276500,4.506
"2011-02-25",4.562,4.77,4.538,4.722,6731500,4.722
"2011-02-28",4.748,4.82,4.7,4.778,5256000,4.778
"2011-03-01",4.81,4.864,4.74,4.788,5532000,4.788
"2011-03-02",4.764,4.856,4.746,4.804,3316500,4.804
"2011-03-03",4.896,4.958,4.812,4.872,3201000,4.872
"2011-03-04",4.896,4.998,4.756,4.99,7900500,4.99
"2011-03-07",4.986,5.08,4.94,4.988,10168000,4.988
"2011-03-08",4.92,4.992,4.8,4.932,6999500,4.932
"2011-03-09",4.932,4.998,4.854,4.944,4624000,4.944
"2011-03-10",4.888,4.898,4.746,4.802,5085000,4.802
"2011-03-11",4.77,4.85,4.706,4.814,4654000,4.814
"2011-03-14",4.764,4.8,4.64,4.65,5830000,4.65
"2011-03-15",4.44,4.592,4.36,4.59,6594000,4.59
"2011-03-16",4.572,4.65,4.538,4.564,5848500,4.564
"2011-03-17",4.648,4.686,4.528,4.562,4613000,4.562
"2011-03-18",4.638,4.638,4.502,4.592,3439500,4.592
"2011-03-21",4.61,4.61,4.508,4.546,2058500,4.546
"2011-03-22",4.546,4.572,4.4,4.438,2914500,4.438
"2011-03-23",4.422,4.454,4.354,4.442,2114000,4.442
"2011-03-24",4.428,4.476,4.396,4.466,2311000,4.466
"2011-03-25",4.486,4.6,4.48,4.55,2840000,4.55
"2011-03-28",4.54,4.708,4.51,4.65,5290500,4.65
"2011-03-29",4.66,4.8,4.642,4.784,3777000,4.784
"2011-03-30",4.822,4.898,4.602,4.742,6116500,4.742
"2011-03-31",5.31,5.742,5.3,5.55,57589000,5.55
"2011-04-01",5.49,5.636,5.314,5.332,14324000,5.332
"2011-04-04",5.366,5.4,5.046,5.166,13046500,5.166
"2011-04-05",5.18,5.4,5.138,5.34,15904500,5.34
"2011-04-06",5.398,5.402,5.16,5.298,6441500,5.298
"2011-04-07",5.37,5.588,5.29,5.448,14051500,5.448
"2011-04-08",5.516,5.52,5.272,5.298,9732000,5.298
"2011-04-11",5.294,5.306,5.004,5.054,6847000,5.054
"2011-04-12",5.016,5.042,4.86,4.93,6787000,4.93
"2011-04-13",5.026,5.138,4.962,4.986,6057500,4.986
"2011-04-14",4.974,5.056,4.84,5.028,4917000,5.028
"2011-04-15",5.13,5.236,5.082,5.116,4717500,5.116
"2011-04-18",5.026,5.124,4.872,5.006,5169500,5.006
"2011-04-19",5.052,5.052,4.93,5.032,2743500,5.032
"2011-04-20",5.14,5.218,5.06,5.15,4186000,5.15
"2011-04-21",5.17,5.396,5.118,5.348,6930500,5.348
"2011-04-25",5.34,5.346,5.194,5.278,4004500,5.278
"2011-04-26",5.332,5.45,5.262,5.386,7e+06,5.386
"2011-04-27",5.386,5.472,5.326,5.416,4984500,5.416
"2011-04-28",5.414,5.538,5.344,5.532,8e+06,5.532
"2011-04-29",5.538,5.574,5.484,5.52,3630000,5.52
"2011-05-02",5.52,5.56,5.412,5.49,3923000,5.49
"2011-05-03",5.476,5.478,5.3,5.374,4569500,5.374
"2011-05-04",5.356,5.4,5.15,5.338,5222500,5.338
"2011-05-05",5.44,5.488,5.234,5.288,6092500,5.288
"2011-05-06",5.38,5.54,5.324,5.424,4908500,5.424
"2011-05-09",5.4,5.6,5.37,5.582,4582000,5.582
"2011-05-10",5.648,5.79,5.582,5.666,7676500,5.666
"2011-05-11",5.64,5.66,5.384,5.414,4812500,5.414
"2011-05-12",5.414,5.548,5.33,5.534,3140000,5.534
"2011-05-13",5.6,5.638,5.46,5.51,3307500,5.51
"2011-05-16",5.598,5.598,5.31,5.32,3778500,5.32
"2011-05-17",5.4,5.4,5.144,5.192,6171000,5.192
"2011-05-18",5.22,5.294,5.104,5.27,3647500,5.27
"2011-05-19",5.406,5.688,5.32,5.64,13275500,5.64
"2011-05-20",5.652,5.656,5.47,5.594,4212500,5.594
"2011-05-23",5.524,5.524,5.324,5.364,4318000,5.364
"2011-05-24",5.404,5.5,5.32,5.344,3068500,5.344
"2011-05-25",5.38,5.802,5.234,5.796,23465500,5.796
"2011-05-26",5.764,5.952,5.62,5.896,16684500,5.896
"2011-05-27",5.908,5.934,5.764,5.91,8435500,5.91
"2011-05-31",5.938,6.056,5.91,6.028,16452500,6.028
"2011-06-01",6,6.02,5.676,5.704,7649500,5.704
"2011-06-02",5.704,5.864,5.702,5.752,4931500,5.752
"2011-06-03",5.99,6.3,5.9,6.026,31046000,6.026
"2011-06-06",6.02,6.026,5.652,5.74,11655500,5.74
"2011-06-07",5.788,5.878,5.652,5.674,6110500,5.674
"2011-06-08",5.688,5.72,5.404,5.424,8479500,5.424
"2011-06-09",5.486,5.62,5.42,5.524,8016000,5.524
"2011-06-10",5.504,5.66,5.47,5.572,7833000,5.572
"2011-06-13",5.614,5.776,5.576,5.686,8567000,5.686
"2011-06-14",5.708,5.94,5.704,5.72,7867000,5.72
"2011-06-15",5.688,5.69,5.414,5.464,6725000,5.464
"2011-06-16",5.534,5.6,5.148,5.3,9211000,5.3
"2011-06-17",5.374,5.54,5.228,5.3,8570000,5.3
"2011-06-20",5.258,5.292,5.1,5.202,7689000,5.202
"2011-06-21",5.248,5.546,5.2,5.506,7480000,5.506
"2011-06-22",5.474,5.65,5.42,5.442,7378000,5.442
"2011-06-23",5.44,5.544,5.242,5.542,5850000,5.542
"2011-06-24",5.528,5.594,5.452,5.514,18042500,5.514
"2011-06-27",5.546,5.656,5.462,5.492,9047000,5.492
"2011-06-28",5.558,5.65,5.534,5.622,4446000,5.622
"2011-06-29",5.7,5.818,5.614,5.658,7309000,5.658
"2011-06-30",5.7,5.866,5.68,5.826,4733500,5.826
"2011-07-01",5.814,5.92,5.76,5.804,4274500,5.804
"2011-07-05",5.804,5.904,5.742,5.828,4980000,5.828
"2011-07-06",5.828,5.828,5.71,5.792,4634500,5.792
"2011-07-07",5.828,6,5.802,5.946,6639500,5.946
"2011-07-08",5.978,5.978,5.718,5.762,6203000,5.762
"2011-07-11",5.68,5.706,5.6,5.67,4879000,5.67
"2011-07-12",5.674,5.818,5.6,5.634,5227000,5.634
"2011-07-13",5.686,5.806,5.58,5.728,5330000,5.728
"2011-07-14",5.706,5.792,5.45,5.522,5795000,5.522
"2011-07-15",5.558,5.566,5.48,5.516,3545000,5.516
"2011-07-18",5.468,5.49,5.326,5.446,4259500,5.446
"2011-07-19",5.516,5.622,5.508,5.578,5130500,5.578
"2011-07-20",5.6,6.088,5.56,5.738,15241500,5.738
"2011-07-21",5.782,5.832,5.62,5.74,5057500,5.74
"2011-07-22",5.74,5.908,5.71,5.858,2917500,5.858
"2011-07-25",5.802,5.85,5.688,5.698,3366500,5.698
"2011-07-26",5.662,5.754,5.594,5.6,3803000,5.6
"2011-07-27",5.7,5.7,5.502,5.528,4792500,5.528
"2011-07-28",5.52,5.71,5.508,5.634,4693500,5.634
"2011-07-29",5.56,5.68,5.5,5.634,4741000,5.634
"2011-08-01",5.734,5.796,5.642,5.754,5824500,5.754
"2011-08-02",5.738,5.84,5.454,5.468,7747000,5.468
"2011-08-03",5.5,5.566,5.268,5.44,8972500,5.44
"2011-08-04",5.302,5.378,4.934,4.95,15322500,4.95
"2011-08-05",4.998,5.076,4.566,4.848,9822000,4.848
"2011-08-08",4.62,4.888,4.62,4.728,13042500,4.728
"2011-08-09",4.83,5.09,4.74,5.012,6667000,5.012
"2011-08-10",5.088,5.088,4.726,4.764,7821000,4.764
"2011-08-11",4.808,5.15,4.8,5.06,4182500,5.06
"2011-08-12",5.12,5.428,5.072,5.262,5045500,5.262
"2011-08-15",5.324,5.35,5.186,5.246,3693000,5.246
"2011-08-16",5.226,5.308,5.166,5.22,2688500,5.22
"2011-08-17",5.278,5.33,5.102,5.166,3218500,5.166
"2011-08-18",5,5.03,4.694,4.852,5283000,4.852
"2011-08-19",4.772,4.844,4.4,4.46,6876500,4.46
"2011-08-22",4.622,4.76,4.336,4.39,4930500,4.39
"2011-08-23",4.386,4.622,4.3,4.592,4345000,4.592
"2011-08-24",4.62,4.786,4.566,4.774,3421500,4.774
"2011-08-25",4.774,4.774,4.58,4.622,3399000,4.622
"2011-08-26",4.542,4.79,4.414,4.746,3809000,4.746
"2011-08-29",4.844,4.97,4.804,4.942,4017000,4.942
"2011-08-30",4.9,4.954,4.818,4.926,1831000,4.926
"2011-08-31",4.96,5.1,4.856,4.948,4119000,4.948
"2011-09-01",4.932,4.974,4.768,4.8,4240500,4.8
"2011-09-02",4.732,4.798,4.536,4.614,3849500,4.614
"2011-09-06",4.5,4.64,4.458,4.588,4049000,4.588
"2011-09-07",4.678,4.8,4.656,4.768,2296000,4.768
"2011-09-08",4.716,4.806,4.656,4.722,2528500,4.722
"2011-09-09",4.674,4.714,4.51,4.594,3346500,4.594
"2011-09-12",4.5,4.662,4.49,4.576,2833000,4.576
"2011-09-13",4.602,4.82,4.55,4.816,3632500,4.816
"2011-09-14",4.85,4.968,4.758,4.868,4154000,4.868
"2011-09-15",4.916,4.986,4.866,4.964,2813000,4.964
"2011-09-16",4.956,5.168,4.898,5.16,7085500,5.16
"2011-09-19",4.99,5.162,4.764,5.154,5787000,5.154
"2011-09-20",5.196,5.32,5.134,5.202,5902000,5.202
"2011-09-21",5.19,5.39,5.14,5.17,4938000,5.17
"2011-09-22",5.128,5.222,4.976,5.126,3879000,5.126
"2011-09-23",5.098,5.324,5.07,5.276,5782000,5.276
"2011-09-26",5.304,5.304,4.98,5.104,4674000,5.104
"2011-09-27",5.2,5.398,5.114,5.238,3372500,5.238
"2011-09-28",5.2,5.3,4.902,4.918,3616500,4.918
"2011-09-29",5.144,5.164,4.71,4.824,4648000,4.824
"2011-09-30",4.96,4.978,4.698,4.878,6680500,4.878
"2011-10-03",4.99,5,4.65,4.746,5116000,4.746
"2011-10-04",4.658,4.864,4.586,4.732,6001500,4.732
"2011-10-05",4.806,5.168,4.67,5.074,6147500,5.074
"2011-10-06",5.074,5.52,5.004,5.392,8845500,5.392
"2011-10-07",5.396,5.52,5.21,5.398,6558000,5.398
"2011-10-10",5.462,5.636,5.4,5.576,4617500,5.576
"2011-10-11",5.502,5.554,5.418,5.522,2878500,5.522
"2011-10-12",5.45,5.6,5.44,5.56,5617000,5.56
"2011-10-13",5.526,5.694,5.488,5.588,5217500,5.588
"2011-10-14",5.6,5.71,5.452,5.61,7002500,5.61
"2011-10-17",5.572,5.6,5.452,5.484,3772500,5.484
"2011-10-18",5.46,5.686,5.342,5.668,4998500,5.668
"2011-10-19",5.604,5.612,5.46,5.514,3964500,5.514
"2011-10-20",5.488,5.494,5.4,5.468,4998500,5.468
"2011-10-21",5.48,5.66,5.402,5.606,5713000,5.606
"2011-10-24",5.574,5.778,5.55,5.71,4703000,5.71
"2011-10-25",5.646,5.772,5.56,5.65,3272000,5.65
"2011-10-26",5.638,5.674,5.48,5.596,2552500,5.596
"2011-10-27",5.668,5.79,5.622,5.752,4347000,5.752
"2011-10-28",5.7,6,5.602,5.974,6320000,5.974
"2011-10-31",5.9,5.902,5.75,5.874,5670000,5.874
"2011-11-01",5.678,5.784,5.6,5.776,3176000,5.776
"2011-11-02",5.8,5.852,5.65,5.742,4376500,5.742
"2011-11-03",6,6.498,5.906,6.492,12548500,6.492
"2011-11-04",6.292,6.48,6.102,6.462,15164500,6.462
"2011-11-07",6.328,6.4,6.15,6.254,6331500,6.254
"2011-11-08",6.274,6.4,6.144,6.368,5839500,6.368
"2011-11-09",6.174,6.298,6.06,6.176,4768500,6.176
"2011-11-10",6.188,6.3,6.13,6.266,3736500,6.266
"2011-11-11",6.38,6.9,6.114,6.728,19341500,6.728
"2011-11-14",6.6,6.708,6.524,6.644,6628500,6.644
"2011-11-15",6.584,6.88,6.546,6.786,4455000,6.786
"2011-11-16",6.696,7,6.68,6.988,9166000,6.988
"2011-11-17",6.9,6.98,6.638,6.736,6746500,6.736
"2011-11-18",6.728,6.822,6.508,6.52,4514000,6.52
"2011-11-21",6.488,6.488,6.21,6.352,5158000,6.352
"2011-11-22",6.352,6.558,6.21,6.414,3663000,6.414
"2011-11-23",6.352,6.41,6.25,6.29,2259000,6.29
"2011-11-25",6.31,6.482,6.216,6.332,1198000,6.332
"2011-11-28",6.4,6.656,6.362,6.512,3406000,6.512
"2011-11-29",6.498,6.614,6.326,6.35,2955500,6.35
"2011-11-30",6.5,6.586,6.444,6.548,3801500,6.548
"2011-12-01",6.514,6.798,6.396,6.52,5151000,6.52
"2011-12-02",6.566,6.738,6.48,6.66,4014000,6.66
"2011-12-05",6.706,7,6.686,6.884,5800500,6.884
"2011-12-06",6.84,6.996,6.806,6.974,4759000,6.974
"2011-12-07",6.926,6.978,6.76,6.838,3371500,6.838
"2011-12-08",6.168,6.33,5.922,6.178,16529000,6.178
"2011-12-09",6.108,6.224,6.056,6.208,6197500,6.208
"2011-12-12",6.088,6.124,6.004,6.082,3793500,6.082
"2011-12-13",6.114,6.186,5.782,5.89,4970500,5.89
"2011-12-14",5.9,5.936,5.6,5.706,5819500,5.706
"2011-12-15",5.734,5.834,5.624,5.724,3501500,5.724
"2011-12-16",5.758,5.786,5.596,5.6,5148500,5.6
"2011-12-19",5.618,5.7,5.474,5.55,4935000,5.55
"2011-12-20",5.61,5.69,5.544,5.58,4216500,5.58
"2011-12-21",5.582,5.614,5.206,5.514,8527500,5.514
"2011-12-22",5.52,5.61,5.46,5.554,5047000,5.554
"2011-12-23",5.6,5.6,5.504,5.58,2957000,5.58
"2011-12-27",5.532,5.754,5.528,5.714,3887500,5.714
"2011-12-28",5.798,5.848,5.608,5.702,2876000,5.702
"2011-12-29",5.718,5.868,5.71,5.746,2441000,5.746
"2011-12-30",5.698,5.796,5.65,5.712,1699000,5.712
"2012-01-03",5.788,5.9,5.53,5.616,4640500,5.616
"2012-01-04",5.642,5.734,5.5,5.542,3150500,5.542
"2012-01-05",5.552,5.586,5.37,5.424,5027500,5.424
"2012-01-06",5.44,5.558,5.282,5.382,4931500,5.382
"2012-01-09",5.4,5.498,5.224,5.45,4485000,5.45
"2012-01-10",5.488,5.552,5.45,5.524,3359000,5.524
"2012-01-11",5.524,5.676,5.46,5.646,3361500,5.646
"2012-01-12",5.696,5.724,5.562,5.65,3646500,5.65
"2012-01-13",5.68,5.7,4.528,4.558,27502000,4.558
"2012-01-17",5.324,5.468,5.282,5.32,23258000,5.32
"2012-01-18",5.338,5.376,5.25,5.362,6301000,5.362
"2012-01-19",5.438,5.548,5.322,5.352,6231500,5.352
"2012-01-20",5.38,5.4,5.28,5.32,3311500,5.32
"2012-01-23",5.362,5.442,5.32,5.354,2973000,5.354
"2012-01-24",5.326,5.536,5.288,5.484,4290000,5.484
"2012-01-25",5.454,5.602,5.41,5.594,3056000,5.594
"2012-01-26",5.614,5.916,5.6,5.788,6355500,5.788
"2012-01-27",5.7,5.944,5.7,5.866,3742000,5.866
"2012-01-30",5.898,5.922,5.706,5.914,3645000,5.914
"2012-01-31",5.98,6,5.774,5.814,4782000,5.814
"2012-02-01",5.814,5.94,5.8,5.916,2616000,5.916
"2012-02-02",5.944,6.176,5.922,6.05,4028500,6.05
"2012-02-03",6.082,6.266,6.05,6.23,3822500,6.23
"2012-02-06",6.22,6.38,6.21,6.36,3260500,6.36
"2012-02-07",6.36,6.36,6.164,6.32,5108000,6.32
"2012-02-08",6.32,6.402,6.258,6.386,3118500,6.386
"2012-02-09",6.4,6.58,6.286,6.516,6385500,6.516
"2012-02-10",6.452,6.454,5.968,6.22,9371000,6.22
"2012-02-13",6.31,6.412,6.18,6.298,5789500,6.298
"2012-02-14",6.348,6.758,6.28,6.634,9054000,6.634
"2012-02-15",6.62,6.882,6.454,6.72,13809000,6.72
"2012-02-16",6.7,6.902,6.508,6.836,11098500,6.836
"2012-02-17",6.798,6.994,6.7,6.994,6883500,6.994
"2012-02-21",6.974,6.974,6.762,6.9,5679000,6.9
"2012-02-22",6.9,6.944,6.5,6.844,8273000,6.844
"2012-02-23",6.798,6.994,6.712,6.906,4102000,6.906
"2012-02-24",6.846,6.904,6.654,6.75,4799500,6.75
"2012-02-27",6.682,6.8,6.6,6.724,3030000,6.724
"2012-02-28",6.728,6.888,6.634,6.762,3061000,6.762
"2012-02-29",6.762,6.824,6.628,6.682,2678500,6.682
"2012-03-01",6.702,6.9,6.662,6.882,3517500,6.882
"2012-03-02",6.88,6.9,6.742,6.808,2750000,6.808
"2012-03-05",6.87,6.88,6.692,6.754,2335000,6.754
"2012-03-06",6.65,6.656,6.524,6.622,2869000,6.622
"2012-03-07",6.624,6.662,6.582,6.624,1824500,6.624
"2012-03-08",6.622,6.698,6.608,6.614,3166500,6.614
"2012-03-09",6.64,7.062,6.64,6.948,7767000,6.948
"2012-03-12",6.938,7.258,6.92,7.202,9816500,7.202
"2012-03-13",7.302,7.318,7.1,7.218,5008000,7.218
"2012-03-14",7.2,7.2,6.96,7.058,4257500,7.058
"2012-03-15",7.056,7.096,6.956,7,2858000,7
"2012-03-16",6.98,7.178,6.966,7.064,3646500,7.064
"2012-03-19",7.052,7.064,6.908,6.996,5078000,6.996
